packet_size (bytes),JAN%count,FEB%count,MAR%count,APR%count
105,53.68351009,61.67399566,48.85308756,62.296952
106,53.83655117,61.85615891,49.00702649,62.4631939
107,54.03254189,62.06339532,49.17424101,62.57230998
108,54.1594738,62.23013813,49.26660494,62.64802213
109,54.24364455,62.32217875,49.37610139,62.75144148
110,54.57299009,62.91774702,49.69365685,63.1986961
111,54.64442242,63.00157955,49.74863834,63.28281871
112,54.70791128,63.07816732,49.81404997,63.40943415
113,54.7983849,63.15829136,49.8763685,63.56529027
114,54.90955515,63.27992206,50.06820829,63.75508546
115,54.96056253,63.32900059,50.13485254,63.80343096
116,55.01062324,63.38756254,50.17911619,63.85432558
117,55.06768128,63.45842293,50.23016911,63.91847034
118,55.19485012,63.6142413,50.37661192,64.28326179
119,55.33093805,63.65279889,50.41684939,64.31517689
120,55.41313649,63.74133494,50.49519307,65.08977708
121,55.45351308,63.81813669,50.5530911,65.14856034
122,55.53525872,63.93726648,50.62350259,65.29784804
123,55.61079994,64.01603524,50.66479555,65.33890335
124,55.64688967,64.11670114,50.71779301,65.37729624
125,55.67446518,64.14973167,50.74405142,65.40220574
126,55.71667981,64.19024978,50.80489475,65.44508043
127,55.84257186,64.23994507,50.85387281,65.48826036
128,55.86917438,64.27383301,50.88229183,65.51680594
129,55.89371402,64.30577988,50.9299047,65.54391402
130,55.95252798,64.37326323,51.00575775,65.70044857
131,55.9811781,64.40917869,51.03099735,66.45016126
132,56.14265337,64.79712363,51.17927358,66.59721571
133,56.16747417,64.82864973,51.21630512,66.61789798
134,56.21714052,64.87335618,51.26506204,66.66337113
135,56.26061141,64.96038491,51.29852266,66.69523891
136,56.29421969,64.986358,51.33725786,66.72039366
137,56.31639424,65.01308475,51.36687903,66.7618375
138,56.43309919,65.17509666,51.45742026,67.49758762
139,56.46866135,65.21639148,51.48968606,67.54341064
140,56.50531918,65.24705656,51.52128845,67.588262
141,56.53787128,65.28789241,51.56516285,67.61579326
142,56.65682864,65.41810443,51.68236979,67.74253532
143,56.68416722,65.44596959,51.75598834,67.78341203
144,56.7252567,65.49392629,51.78477742,67.81293528
145,56.75890868,65.52478807,51.82294624,67.83838993
146,56.8112476,65.59150911,51.88450264,67.92777741
147,56.84484167,65.62972734,51.90978736,67.95005713
148,56.94978171,65.69088385,51.94279217,68.05029158
149,56.97192205,65.71704788,51.96286437,68.07173825
150,57.01163154,65.75778862,52.07557803,68.11113147
151,57.04081291,65.7855875,52.10211964,68.16261456
152,57.06165276,65.8214972,52.12185167,68.18161274
153,57.08974267,65.85875282,52.14845589,68.2040804
154,57.14374326,65.91655534,52.18032228,68.25857046
155,57.17570882,65.95716711,52.20919937,68.28895942
156,57.19742531,65.97528732,52.24604306,68.31148639
157,57.22150426,65.99473832,52.2758724,68.33227463
158,57.4732873,66.09345739,52.36901876,68.41488242
159,57.52615484,66.11790155,52.39591182,68.43649904
160,57.54959565,66.15580851,52.42096356,68.4548801
161,57.60045613,66.22456717,52.45747441,68.4905146
162,57.63175776,66.26541527,52.51677204,68.55315921
163,57.65691501,66.28611996,52.53679742,68.57713302
164,57.69542984,66.37789688,52.61650572,68.6632183
165,57.7157674,66.39930912,52.63919997,68.69393381
166,57.7476761,66.44481895,52.68333726,68.73916637
167,57.77219837,66.5006206,52.72942811,68.77074292
168,57.81170568,66.52706275,52.7549746,68.80201491
169,57.83769113,66.5448825,52.77693718,68.82227466
170,57.86647551,66.57529972,52.80053686,68.85460095
171,57.88844894,66.61324055,52.81716055,69.35825898
172,57.91611711,66.64311955,52.84474015,69.93691341
173,57.9469949,66.67323271,52.87079322,69.96600414
174,58.04129152,66.7267878,52.91321556,70.01036899
175,58.05952777,66.74606227,52.94099203,70.0247081
176,58.08173445,66.77620858,52.96505317,70.04337439
