src_ip,count,CDF,,,,,total,1155236
192.169.192.201,7,40.93406023,,,,,,
192.169.192.202,5,40.93449304,,,,,,
192.169.192.203,7,40.93509898,,,,,,
192.169.192.204,7,40.93570491,,,,,,
192.169.192.205,6,40.93622429,,,,,,
192.169.192.206,7,40.93683022,,,,,,
192.169.192.207,4,40.93717647,,,,,,
192.169.192.209,5,40.93760929,,,,,,
192.169.192.210,5,40.9380421,,,,,,
192.169.192.211,7,40.93864803,,,,,,
192.169.192.212,5,40.93908085,,,,,,
192.169.192.213,5,40.93951366,,,,,,
192.169.192.214,7,40.94011959,,,,,,
192.169.192.215,6,40.94063897,,,,,,
192.169.192.216,8,40.94133147,,,,,,
192.169.192.217,7,40.9419374,,,,,,
192.169.192.218,4,40.94228365,,,,,,
192.169.192.219,7,40.94288959,,,,,,
192.169.192.22,1,40.94297615,,,,,,
192.169.192.220,7,40.94358209,,,,,,
192.169.192.221,6,40.94410146,,,,,,
192.169.192.222,7,40.9447074,,,,,,
192.169.192.223,13,40.94583271,,,,,,
192.169.192.224,12,40.94687146,,,,,,
192.169.192.225,11,40.94782365,,,,,,
192.169.192.226,2,40.94799677,,,,,,
192.169.192.227,2,40.9481699,,,,,,
192.169.192.228,2,40.94834302,,,,,,
192.169.192.23,2,40.94851615,,,,,,
192.169.192.230,2,40.94868927,,,,,,
192.169.192.231,2,40.9488624,,,,,,
192.169.192.232,2,40.94903552,,,,,,
192.169.192.233,2,40.94920865,,,,,,
192.169.192.235,2,40.94938177,,,,,,
192.169.192.236,1,40.94946833,,,,,,
192.169.192.237,2,40.94964146,,,,,,
192.169.192.238,2,40.94981458,,,,,,
192.169.192.239,2,40.94998771,,,,,,
192.169.192.24,1,40.95007427,,,,,,
192.169.192.240,2,40.9502474,,,,,,
192.169.192.241,2,40.95042052,,,,,,
192.169.192.243,2,40.95059364,,,,,,
192.169.192.244,2,40.95076677,,,,,,
192.169.192.245,2,40.95093989,,,,,,
192.169.192.246,2,40.95111302,,,,,,
192.169.192.247,2,40.95128614,,,,,,
192.169.192.248,2,40.95145927,,,,,,
192.169.192.249,2,40.95163239,,,,,,
192.169.192.25,1,40.95171896,,,,,,
192.169.192.250,2,40.95189208,,,,,,
192.169.192.251,2,40.95206521,,,,,,
192.169.192.252,2,40.95223833,,,,,,
192.169.192.253,2,40.95241146,,,,,,
192.169.192.254,2,40.95258458,,,,,,
192.169.192.255,2,40.9527577,,,,,,
192.169.192.26,1,40.95284427,,,,,,
192.169.192.28,5,40.95327708,,,,,,
192.169.192.29,2,40.9534502,,,,,,
192.169.192.30,2,40.95362333,,,,,,
192.169.192.31,6,40.9541427,,,,,,
192.169.192.32,4,40.95448895,,,,,,
192.169.192.33,2,40.95466208,,,,,,
192.169.192.35,1,40.95474864,,,,,,
192.169.192.36,1,40.9548352,,,,,,
192.169.192.37,1,40.95492176,,,,,,
192.169.192.38,1,40.95500833,,,,,,
192.169.192.39,1,40.95509489,,,,,,
192.169.192.40,1,40.95518145,,,,,,
192.169.192.41,1,40.95526801,,,,,,
192.169.192.42,1,40.95535458,,,,,,
192.169.192.43,1,40.95544114,,,,,,
192.169.192.44,1,40.9555277,,,,,,
192.169.192.45,1,40.95561426,,,,,,
192.169.192.46,1,40.95570083,,,,,,
192.169.192.47,1,40.95578739,,,,,,
192.169.192.48,1,40.95587395,,,,,,
192.169.192.49,1,40.95596051,,,,,,
192.169.192.5,3,40.9562202,,,,,,
192.169.192.50,1,40.95630676,,,,,,
192.169.192.51,1,40.95639333,,,,,,
192.169.192.53,1,40.95647989,,,,,,
192.169.192.54,1,40.95656645,,,,,,
192.169.192.56,1,40.95665301,,,,,,
192.169.192.57,1,40.95673958,,,,,,
192.169.192.58,1,40.95682614,,,,,,
192.169.192.59,1,40.9569127,,,,,,
192.169.192.6,1,40.95699926,,,,,,
192.169.192.60,1,40.95708582,,,,,,
192.169.192.62,1,40.95717239,,,,,,
192.169.192.64,1,40.95725895,,,,,,
192.169.192.65,1,40.95734551,,,,,,
192.169.192.66,2004,41.13081656,,,,,,
192.169.192.67,6299,41.67607311,,,,,,
192.169.192.68,6066,42.20116063,,,,,,
192.169.192.69,2508,42.41825913,,,,,,
192.169.192.70,2200,42.6086964,,,,,,
192.169.192.71,6039,43.13144673,,,,,,
192.169.192.72,2583,43.35503741,,,,,,
192.169.192.73,2197,43.545215,,,,,,
192.169.192.74,2508,43.7623135,,,,,,
192.169.192.75,6314,44.30886849,,,,,,
192.169.192.76,6291,44.85343255,,,,,,
192.169.192.77,6285,45.39747723,,,,,,
192.169.192.78,6344,45.94662909,,,,,,
192.169.192.79,2680,46.17861632,,,,,,
192.169.192.8,1,46.17870288,,,,,,
192.169.192.80,1968,46.34905768,,,,,,
192.169.192.81,1991,46.52140342,,,,,,
192.169.192.82,2627,46.74880284,,,,,,
192.169.192.83,1960,46.91846514,,,,,,
192.169.192.84,1963,47.08838713,,,,,,
192.169.192.85,2003,47.26177162,,,,,,
192.169.192.86,2115,47.4448511,,,,,,
192.169.192.87,1959,47.61442684,,,,,,
192.169.192.88,1965,47.78452195,,,,,,
192.169.192.89,2135,47.96933267,,,,,,
192.169.192.9,1,47.96941924,,,,,,
192.169.192.90,1993,48.1419381,,,,,,
192.169.192.91,1959,48.31151384,,,,,,
192.169.192.92,6031,48.83357167,,,,,,
192.169.192.93,5208,49.28438864,,,,,,
192.169.192.94,2702,49.51828025,,,,,,
192.169.192.95,2610,49.74420811,,,,,,
192.169.192.96,2621,49.97108816,,,,,,
192.169.192.97,1893,50.13495078,,,,,,
192.169.192.98,2,50.13512391,,,,,,
192.169.192.99,36,50.13824015,,,,,,
192.169.193.0,2,50.13841328,,,,,,
192.169.193.1,2,50.1385864,,,,,,
192.169.193.10,7,50.13919234,,,,,,
192.169.193.11,8,50.13988484,,,,,,
192.169.193.12,7,50.14049077,,,,,,
192.169.193.13,6,50.14101015,,,,,,
192.169.193.14,8,50.14170265,,,,,,
192.169.193.15,8,50.14239515,,,,,,
192.169.193.16,8,50.14308765,,,,,,
192.169.193.17,7,50.14369358,,,,,,
192.169.193.18,8,50.14438608,,,,,,
192.169.193.19,8,50.14507858,,,,,,
192.169.193.2,8,50.14577108,,,,,,
192.169.193.20,7,50.14637702,,,,,,
192.169.193.22,8,50.14706952,,,,,,
192.169.193.23,7,50.14767545,,,,,,
192.169.193.24,7,50.14828139,,,,,,
192.169.193.25,8,50.14897389,,,,,,
192.169.193.27,8,50.14966639,,,,,,
192.169.193.28,6,50.15018576,,,,,,
192.169.193.29,7,50.1507917,,,,,,
192.169.193.3,7,50.15139764,,,,,,
192.169.193.30,8,50.15209014,,,,,,
192.169.193.31,8,50.15278263,,,,,,
192.169.193.32,8,50.15347513,,,,,,
192.169.193.33,8,50.15416763,,,,,,
192.169.193.5,7,50.15477357,,,,,,
192.169.193.6,7,50.15537951,,,,,,
192.169.193.8,8,50.15607201,,,,,,
192.169.193.9,7,50.15667794,,,,,,
192.170.0.10,3,50.15693763,,,,,,
192.170.0.100,5,50.15737044,,,,,,
192.170.0.101,4,50.15771669,,,,,,
192.170.0.102,5,50.1581495,,,,,,
192.170.0.103,5,50.15858232,,,,,,
192.170.0.104,6,50.15910169,,,,,,
192.170.0.105,5,50.1595345,,,,,,
192.170.0.106,4,50.15988075,,,,,,
192.170.0.107,4,50.160227,,,,,,
192.170.0.108,4,50.16057325,,,,,,
192.170.0.109,5,50.16100606,,,,,,
192.170.0.11,4,50.16135231,,,,,,
192.170.0.110,4,50.16169856,,,,,,
192.170.0.111,6,50.16221794,,,,,,
192.170.0.112,6,50.16273731,,,,,,
192.170.0.113,4,50.16308356,,,,,,
192.170.0.114,4,50.16342981,,,,,,
192.170.0.115,4,50.16377606,,,,,,
192.170.0.116,4,50.16412231,,,,,,
192.170.0.117,4,50.16446856,,,,,,
192.170.0.118,4,50.16481481,,,,,,
192.170.0.119,4,50.16516106,,,,,,
192.170.0.12,5,50.16559387,,,,,,
192.170.0.120,6,50.16611324,,,,,,
192.170.0.121,4,50.16645949,,,,,,
192.170.0.122,4,50.16680574,,,,,,
192.170.0.123,3,50.16706543,,,,,,
192.170.0.124,4,50.16741168,,,,,,
192.170.0.125,4,50.16775793,,,,,,
192.170.0.126,4,50.16810418,,,,,,
192.170.0.127,3,50.16836387,,,,,,
192.170.0.128,4,50.16871012,,,,,,
192.170.0.129,5,50.16914293,,,,,,
192.170.0.13,4,50.16948918,,,,,,
192.170.0.130,7,50.17009511,,,,,,
192.170.0.131,5,50.17052793,,,,,,
192.170.0.132,4,50.17087418,,,,,,
192.170.0.133,4,50.17122043,,,,,,
192.170.0.134,4,50.17156668,,,,,,
192.170.0.135,4,50.17191293,,,,,,
192.170.0.136,3,50.17217261,,,,,,
192.170.0.137,4,50.17251886,,,,,,
192.170.0.138,4,50.17286511,,,,,,
192.170.0.139,7,50.17347105,,,,,,
192.170.0.14,4,50.1738173,,,,,,
192.170.0.140,5,50.17425011,,,,,,
192.170.0.141,2,50.17442323,,,,,,
192.170.0.142,6,50.17494261,,,,,,
192.170.0.143,5,50.17537542,,,,,,
192.170.0.144,5,50.17580823,,,,,,
192.170.0.145,5,50.17624105,,,,,,
192.170.0.146,4,50.17658729,,,,,,
192.170.0.147,5,50.17702011,,,,,,
192.170.0.148,4,50.17736636,,,,,,
192.170.0.149,4,50.17771261,,,,,,
192.170.0.15,4,50.17805886,,,,,,
192.170.0.150,3,50.17831854,,,,,,
192.170.0.151,4,50.17866479,,,,,,
192.170.0.152,4,50.17901104,,,,,,
192.170.0.153,3,50.17927073,,,,,,
192.170.0.154,4,50.17961698,,,,,,
192.170.0.155,4,50.17996323,,,,,,
192.170.0.156,2,50.18013635,,,,,,
192.170.0.157,5,50.18056917,,,,,,
192.170.0.158,4,50.18091541,,,,,,
192.170.0.159,4,50.18126166,,,,,,
192.170.0.16,3,50.18152135,,,,,,
192.170.0.160,4,50.1818676,,,,,,
192.170.0.161,5,50.18230041,,,,,,
192.170.0.162,2,50.18247354,,,,,,
192.170.0.163,3,50.18273323,,,,,,
192.170.0.164,3,50.18299291,,,,,,
192.170.0.165,3,50.1832526,,,,,,
192.170.0.166,2,50.18342572,,,,,,
192.170.0.167,3,50.18368541,,,,,,
192.170.0.168,3,50.1839451,,,,,,
192.170.0.169,2,50.18411822,,,,,,
192.170.0.17,4,50.18446447,,,,,,
192.170.0.170,3,50.18472416,,,,,,
192.170.0.171,3,50.18498385,,,,,,
192.170.0.172,4,50.1853301,,,,,,
192.170.0.173,4,50.18567635,,,,,,
192.170.0.174,3,50.18593603,,,,,,
192.170.0.175,3,50.18619572,,,,,,
192.170.0.176,4,50.18654197,,,,,,
192.170.0.177,4,50.18688822,,,,,,
192.170.0.178,3,50.18714791,,,,,,
192.170.0.179,3,50.18740759,,,,,,
192.170.0.18,4,50.18775384,,,,,,
192.170.0.180,4,50.18810009,,,,,,
192.170.0.181,2,50.18827322,,,,,,
192.170.0.182,3,50.18853291,,,,,,
192.170.0.183,4,50.18887916,,,,,,
192.170.0.185,3,50.18913884,,,,,,
192.170.0.186,2,50.18931197,,,,,,
192.170.0.187,2,50.18948509,,,,,,
192.170.0.188,2,50.18965822,,,,,,
192.170.0.189,1,50.18974478,,,,,,
192.170.0.19,4,50.19009103,,,,,,
192.170.0.190,2,50.19026415,,,,,,
192.170.0.191,3,50.19052384,,,,,,
192.170.0.193,3,50.19078353,,,,,,
192.170.0.194,3,50.19104322,,,,,,
192.170.0.195,3,50.1913029,,,,,,
192.170.0.196,3,50.19156259,,,,,,
192.170.0.197,4,50.19190884,,,,,,
192.170.0.198,3,50.19216853,,,,,,
192.170.0.199,3,50.19242821,,,,,,
192.170.0.2,4,50.19277446,,,,,,
192.170.0.20,3,50.19303415,,,,,,
192.170.0.200,6,50.19355352,,,,,,
192.170.0.201,3,50.19381321,,,,,,
192.170.0.202,4,50.19415946,,,,,,
192.170.0.203,3,50.19441915,,,,,,
192.170.0.204,3,50.19467884,,,,,,
192.170.0.205,3,50.19493852,,,,,,
192.170.0.206,4,50.19528477,,,,,,
192.170.0.207,2,50.1954579,,,,,,
192.170.0.208,3,50.19571758,,,,,,
192.170.0.209,3,50.19597727,,,,,,
192.170.0.21,3,50.19623696,,,,,,
192.170.0.210,4,50.19658321,,,,,,
192.170.0.211,3,50.1968429,,,,,,
192.170.0.212,3,50.19710258,,,,,,
192.170.0.213,4,50.19744883,,,,,,
192.170.0.214,3,50.19770852,,,,,,
192.170.0.215,3,50.19796821,,,,,,
192.170.0.216,6,50.19848758,,,,,,
192.170.0.217,3,50.19874727,,,,,,
192.170.0.218,4,50.19909352,,,,,,
192.170.0.219,3,50.19935321,,,,,,
192.170.0.22,3,50.19961289,,,,,,
192.170.0.220,3,50.19987258,,,,,,
192.170.0.221,3,50.20013227,,,,,,
192.170.0.222,4,50.20047852,,,,,,
192.170.0.223,5,50.20091133,,,,,,
192.170.0.224,5,50.20134414,,,,,,
192.170.0.225,4,50.20169039,,,,,,
192.170.0.226,2,50.20186352,,,,,,
192.170.0.227,1,50.20195008,,,,,,
192.170.0.228,2,50.2021232,,,,,,
192.170.0.229,2,50.20229633,,,,,,
192.170.0.23,3,50.20255601,,,,,,
192.170.0.230,3,50.2028157,,,,,,
192.170.0.231,2,50.20298883,,,,,,
192.170.0.232,3,50.20324851,,,,,,
192.170.0.233,3,50.2035082,,,,,,
192.170.0.234,2,50.20368133,,,,,,
192.170.0.235,2,50.20385445,,,,,,
192.170.0.236,2,50.20402758,,,,,,
192.170.0.237,2,50.2042007,,,,,,
192.170.0.238,2,50.20437382,,,,,,
192.170.0.239,1,50.20446039,,,,,,
192.170.0.24,3,50.20472007,,,,,,
192.170.0.240,3,50.20497976,,,,,,
192.170.0.241,2,50.20515289,,,,,,
192.170.0.242,2,50.20532601,,,,,,
192.170.0.243,1,50.20541257,,,,,,
192.170.0.244,2,50.2055857,,,,,,
192.170.0.245,3,50.20584539,,,,,,
192.170.0.246,2,50.20601851,,,,,,
192.170.0.247,2,50.20619164,,,,,,
192.170.0.248,4,50.20653788,,,,,,
192.170.0.249,2,50.20671101,,,,,,
192.170.0.25,3,50.2069707,,,,,,
192.170.0.250,3,50.20723038,,,,,,
192.170.0.251,2,50.20740351,,,,,,
192.170.0.252,2,50.20757663,,,,,,
192.170.0.253,2,50.20774976,,,,,,
192.170.0.254,3,50.20800945,,,,,,
192.170.0.255,3,50.20826913,,,,,,
192.170.0.26,3,50.20852882,,,,,,
192.170.0.27,4,50.20887507,,,,,,
192.170.0.28,4,50.20922132,,,,,,
192.170.0.29,5,50.20965413,,,,,,
192.170.0.3,4,50.21000038,,,,,,
192.170.0.30,1,50.21008694,,,,,,
192.170.0.31,4,50.21043319,,,,,,
192.170.0.32,4,50.21077944,,,,,,
192.170.0.33,5,50.21121225,,,,,,
192.170.0.34,5586,50.69474982,,,,,,
192.170.0.35,6277,51.238102,,,,,,
192.170.0.36,1692,51.38456558,,,,,,
192.170.0.37,1795,51.53994508,,,,,,
192.170.0.38,1555,51.67454962,,,,,,
192.170.0.39,1673,51.81936851,,,,,,
192.170.0.4,3,51.8196282,,,,,,
192.170.0.40,5877,52.32835542,,,,,,
192.170.0.41,1569,52.46417182,,,,,,
192.170.0.42,1802,52.62015727,,,,,,
192.170.0.43,1899,52.78453926,,,,,,
192.170.0.44,1750,52.93602346,,,,,,
192.170.0.45,2078,53.11590013,,,,,,
192.170.0.46,1783,53.27024089,,,,,,
192.170.0.47,2065,53.44899224,,,,,,
192.170.0.48,1997,53.62185735,,,,,,
192.170.0.49,1495,53.75126814,,,,,,
192.170.0.5,3,53.75152783,,,,,,
192.170.0.50,5889,54.2612938,,,,,,
192.170.0.51,1655,54.40455457,,,,,,
192.170.0.52,5575,54.88713994,,,,,,
192.170.0.53,2403,55.09514939,,,,,,
192.170.0.54,2441,55.30644821,,,,,,
192.170.0.55,5580,55.78946639,,,,,,
192.170.0.56,1588,55.92692748,,,,,,
192.170.0.57,2432,56.13744724,,,,,,
192.170.0.58,2419,56.34684168,,,,,,
192.170.0.59,6199,56.883442,,,,,,
192.170.0.6,3,56.88370169,,,,,,
192.170.0.60,2263,57.07959239,,,,,,
192.170.0.61,1344,57.19593226,,,,,,
192.170.0.62,2402,57.40385514,,,,,,
192.170.0.63,6224,57.94261952,,,,,,
192.170.0.64,1599,58.08103279,,,,,,
192.170.0.65,2439,58.29215849,,,,,,
192.170.0.66,4,58.29250473,,,,,,
192.170.0.67,5,58.29293755,,,,,,
192.170.0.68,5,58.29337036,,,,,,
192.170.0.69,4,58.29371661,,,,,,
192.170.0.7,3,58.2939763,,,,,,
192.170.0.70,5,58.29440911,,,,,,
192.170.0.71,5,58.29484192,,,,,,
192.170.0.72,5,58.29527473,,,,,,
192.170.0.73,5,58.29570754,,,,,,
192.170.0.74,4,58.29605379,,,,,,
192.170.0.75,4,58.29640004,,,,,,
192.170.0.76,7,58.29700598,,,,,,
192.170.0.77,4,58.29735223,,,,,,
192.170.0.78,6,58.2978716,,,,,,
192.170.0.79,5,58.29830442,,,,,,
192.170.0.8,3,58.2985641,,,,,,
192.170.0.80,3,58.29882379,,,,,,
192.170.0.81,4,58.29917004,,,,,,
192.170.0.82,3,58.29942973,,,,,,
192.170.0.83,4,58.29977598,,,,,,
192.170.0.84,4,58.30012223,,,,,,
192.170.0.85,5,58.30055504,,,,,,
192.170.0.86,4,58.30090129,,,,,,
192.170.0.87,4,58.30124754,,,,,,
192.170.0.88,5,58.30168035,,,,,,
192.170.0.89,4,58.3020266,,,,,,
192.170.0.9,3,58.30228629,,,,,,
192.170.0.90,5,58.3027191,,,,,,
192.170.0.91,3,58.30297879,,,,,,
192.170.0.92,4,58.30332503,,,,,,
192.170.0.93,4,58.30367128,,,,,,
192.170.0.94,5,58.3041041,,,,,,
192.170.0.95,3,58.30436378,,,,,,
192.170.0.96,3,58.30462347,,,,,,
192.170.0.97,3,58.30488316,,,,,,
192.170.0.98,3,58.30514285,,,,,,
192.170.0.99,4,58.30548909,,,,,,
192.170.1.0,3,58.30574878,,,,,,
192.170.1.1,4,58.30609503,,,,,,
192.170.1.10,2,58.30626816,,,,,,
192.170.1.100,3,58.30652784,,,,,,
192.170.1.102,1,58.30661441,,,,,,
192.170.1.103,3,58.30687409,,,,,,
192.170.1.104,1,58.30696066,,,,,,
192.170.1.105,1,58.30704722,,,,,,
192.170.1.107,2,58.30722034,,,,,,
192.170.1.108,2,58.30739347,,,,,,
192.170.1.109,1,58.30748003,,,,,,
192.170.1.11,4,58.30782628,,,,,,
192.170.1.111,1,58.30791284,,,,,,
192.170.1.112,1,58.3079994,,,,,,
192.170.1.113,1,58.30808597,,,,,,
192.170.1.114,1,58.30817253,,,,,,
192.170.1.116,1,58.30825909,,,,,,
192.170.1.117,1,58.30834565,,,,,,
192.170.1.119,1,58.30843222,,,,,,
192.170.1.12,3,58.3086919,,,,,,
192.170.1.122,1,58.30877847,,,,,,
192.170.1.123,1,58.30886503,,,,,,
192.170.1.124,2,58.30903815,,,,,,
192.170.1.127,2,58.30921128,,,,,,
192.170.1.128,1,58.30929784,,,,,,
192.170.1.129,3,58.30955753,,,,,,
192.170.1.13,2,58.30973065,,,,,,
192.170.1.130,1,58.30981721,,,,,,
192.170.1.133,2,58.30999034,,,,,,
192.170.1.136,2,58.31016346,,,,,,
192.170.1.138,2,58.31033659,,,,,,
192.170.1.139,1,58.31042315,,,,,,
192.170.1.14,4,58.3107694,,,,,,
192.170.1.143,3,58.31102909,,,,,,
192.170.1.144,3,58.31128878,,,,,,
192.170.1.145,1,58.31137534,,,,,,
192.170.1.146,2,58.31154846,,,,,,
192.170.1.147,1,58.31163503,,,,,,
192.170.1.148,2,58.31180815,,,,,,
192.170.1.15,3,58.31206784,,,,,,
192.170.1.150,2,58.31224096,,,,,,
192.170.1.151,2,58.31241409,,,,,,
192.170.1.153,1,58.31250065,,,,,,
192.170.1.155,1,58.31258721,,,,,,
192.170.1.159,2,58.31276034,,,,,,
192.170.1.16,3,58.31302002,,,,,,
192.170.1.160,2,58.31319315,,,,,,
192.170.1.161,1,58.31327971,,,,,,
192.170.1.162,1,58.31336627,,,,,,
192.170.1.163,1,58.31345284,,,,,,
192.170.1.164,3,58.31371252,,,,,,
192.170.1.165,1,58.31379909,,,,,,
192.170.1.166,2,58.31397221,,,,,,
192.170.1.167,3,58.3142319,,,,,,
192.170.1.168,3,58.31449158,,,,,,
192.170.1.169,2,58.31466471,,,,,,
192.170.1.17,4,58.31501096,,,,,,
192.170.1.170,1,58.31509752,,,,,,
192.170.1.171,2,58.31527065,,,,,,
192.170.1.172,2,58.31544377,,,,,,
192.170.1.173,1,58.31553033,,,,,,
192.170.1.174,1,58.3156169,,,,,,
192.170.1.175,3,58.31587658,,,,,,
192.170.1.176,3,58.31613627,,,,,,
192.170.1.177,1,58.31622283,,,,,,
192.170.1.178,1,58.31630939,,,,,,
192.170.1.179,2,58.31648252,,,,,,
192.170.1.18,3,58.31674221,,,,,,
192.170.1.187,1,58.31682877,,,,,,
192.170.1.189,2,58.31700189,,,,,,
192.170.1.19,1,58.31708846,,,,,,
192.170.1.190,1,58.31717502,,,,,,
192.170.1.191,1,58.31726158,,,,,,
192.170.1.192,1,58.31734814,,,,,,
192.170.1.194,1,58.31743471,,,,,,
192.170.1.195,3,58.31769439,,,,,,
192.170.1.196,4,58.31804064,,,,,,
192.170.1.197,2,58.31821377,,,,,,
192.170.1.198,1,58.31830033,,,,,,
192.170.1.199,3,58.31856002,,,,,,
192.170.1.2,5,58.31899283,,,,,,
192.170.1.20,2,58.31916595,,,,,,
192.170.1.200,3,58.31942564,,,,,,
192.170.1.201,1,58.3195122,,,,,,
192.170.1.202,2,58.31968533,,,,,,
192.170.1.203,2,58.31985845,,,,,,
192.170.1.204,4,58.3202047,,,,,,
192.170.1.205,2,58.32037783,,,,,,
192.170.1.206,3,58.32063751,,,,,,
192.170.1.207,1,58.32072408,,,,,,
192.170.1.208,1,58.32081064,,,,,,
192.170.1.209,4,58.32115689,,,,,,
192.170.1.21,2,58.32133001,,,,,,
192.170.1.210,1,58.32141658,,,,,,
192.170.1.211,2,58.3215897,,,,,,
192.170.1.212,3,58.32184939,,,,,,
192.170.1.213,2,58.32202251,,,,,,
192.170.1.214,2,58.32219564,,,,,,
192.170.1.215,3,58.32245533,,,,,,
192.170.1.216,2,58.32262845,,,,,,
192.170.1.217,2,58.32280157,,,,,,
192.170.1.218,2,58.3229747,,,,,,
192.170.1.219,2,58.32314782,,,,,,
192.170.1.22,3,58.32340751,,,,,,
192.170.1.220,3,58.3236672,,,,,,
192.170.1.221,3,58.32392689,,,,,,
192.170.1.222,2,58.32410001,,,,,,
192.170.1.223,3,58.3243597,,,,,,
