packet_size,%count,%count
593,65.77729338,55.18371414
594,65.78408154,55.18950892
595,65.78878471,55.19450819
596,65.7934243,55.19948075
597,65.79741332,55.20407634
598,65.80453317,55.20988959
599,65.80984333,55.21585851
600,65.8145183,55.22194187
601,65.81881697,55.22854765
602,65.82899895,55.24060224
603,65.8358271,55.25153416
604,65.83985303,55.28693772
605,65.84382309,55.29228956
606,65.84829453,55.29799595
607,65.85228253,55.30300149
608,65.85596703,55.30872668
609,65.85999348,55.3150851
610,65.86536361,55.32749655
611,65.86968484,55.33215381
612,65.87437775,55.33730117
613,65.87896659,55.35184682
614,65.98106326,55.36067256
615,65.98754792,55.36673878
616,65.99211881,55.37227268
617,65.99746075,55.37671094
618,66.00596531,55.38370195
619,66.0116902,55.38781667
620,66.01672301,55.39217941
621,66.02251096,55.39698145
622,66.02860088,55.40277722
623,66.03397255,55.4065618
624,66.0405459,55.4107105
625,66.0467604,55.41437733
626,66.05193521,55.42695797
627,66.05747555,55.43157994
628,66.06223203,55.43596148
629,66.06726124,55.44044526
630,66.07304663,55.44555832
631,66.08231915,55.45303283
632,66.08909296,55.45974415
633,66.09519825,55.46432325
634,66.10718275,55.51528564
635,66.11381814,55.51983802
636,66.12220734,55.52460445
637,66.12745085,55.52942331
638,66.1334085,55.53441632
639,66.13918518,55.53903895
640,66.14445996,55.54361706
641,66.15000183,55.54777136
642,66.17662233,55.552486
643,66.18168743,55.55676662
644,66.18742207,55.56098886
645,66.1925005,55.56501025
646,66.19762661,55.56935287
647,66.20633264,55.5753264
648,66.21116499,55.57969046
649,66.21619113,55.58406936
650,66.22340839,55.6502832
651,66.22795878,55.65484976
652,66.23303926,55.6601739
653,66.23722104,55.66536084
654,66.24268192,55.67296595
655,66.24722206,55.67985009
656,66.25202211,55.68452517
657,66.25634078,55.68938592
658,66.26111059,55.69380044
659,66.26605419,55.69798178
660,66.27109673,55.70345236
661,66.27532517,55.70777387
662,66.28578348,55.7131023
663,66.29317607,55.71926053
664,66.29788897,55.72516546
665,66.30318784,55.73090978
666,66.31289561,55.7978967
667,66.31754649,55.80335276
668,66.32215275,55.81082529
669,66.3273614,55.82209822
670,66.33306528,55.82774756
671,66.33816217,55.83228839
672,66.34248186,55.84020551
673,66.34671696,55.8449749
674,66.35113662,55.85343752
675,66.35528765,55.8634984
676,66.36133398,55.86804353
677,66.36526764,55.87256227
678,66.36956785,55.87685575
679,66.37794065,55.88208853
680,66.38199529,55.89673214
681,66.38598996,55.90055333
682,66.39215933,56.12119192
683,66.39609453,56.12513579
684,66.39941094,56.13378476
685,66.40336767,56.13757725
686,66.40850967,56.14224705
687,66.41256534,56.14581626
688,66.41638057,56.15032445
689,66.42108988,56.15369512
690,66.42502662,56.15762646
691,66.42876085,56.16101065
692,66.43274936,56.16737106
693,66.43668096,56.17059232
694,66.44082327,56.1736467
695,66.45004965,56.17871458
696,66.45402535,56.18224289
697,66.45762424,56.18575967
698,66.4644934,56.51910159
699,66.46840962,56.52282911
700,66.47315482,56.53709179
701,66.47730893,56.54080843
702,66.4826037,56.54599273
703,66.48834193,56.54996662
704,66.49286925,56.55439334
705,66.49817171,56.55832205
706,66.50410116,56.56258947
707,66.50919548,56.56610955
708,66.514419,56.57035883
709,66.5197189,56.57444222
710,66.52507263,56.57897151
711,66.53242216,56.58409579
712,66.53752109,56.58811717
713,66.54233191,56.5919443
714,66.54961377,56.71246778
715,66.55578161,56.71624939
716,66.56026586,56.72022394
717,66.56468757,56.72420905
718,66.56962656,56.72875648
719,66.57407237,56.73283624
720,66.57852176,56.73719701
721,66.58278301,56.74153402
722,66.58730981,56.74642314
723,66.59226572,56.75147815
724,66.59688993,56.7564395
725,66.60229237,56.76168646
726,66.60680994,56.76761514
727,66.61248819,56.77337034
728,66.61704678,56.77734984
729,66.62125369,56.78203118
730,66.62809363,56.78845754
731,66.63225542,56.7925505
732,66.63623214,56.79634431
733,66.64033343,56.80000687
734,66.64452804,56.80433003
735,66.64872161,56.80815682
736,66.65265168,56.8120387
737,66.65622032,56.81615738
738,66.66004478,56.82035356
739,66.66371083,56.8243578
740,66.66733996,56.82841678
741,66.67132847,56.8326908
742,66.67498837,56.83745888
743,66.67945109,56.841411
744,66.68328632,56.84584762
745,66.68714308,56.84910055
746,66.6933386,56.85450087
747,66.69669602,56.85780756
748,66.70004781,56.861012
749,66.70349956,56.86476129
750,66.70866515,56.87000693
751,66.71299868,56.87347391
752,66.7168216,56.87722221
753,66.72133098,56.88026735
754,66.72596544,56.88492263
755,66.72953767,56.88813301
756,66.73294431,56.89138858
757,66.736758,56.89488293
758,66.74050557,56.89965859
759,66.74487857,56.90312589
760,66.74849592,56.90642862
761,66.75206712,56.90988636
762,66.75916544,56.91511155
763,66.76259977,56.91825102
764,66.7664191,56.9215963
765,66.77075776,56.92509427
766,66.77447456,56.92852068
767,66.78105817,56.93304601
768,66.78517638,56.93670329
769,66.78868504,56.94000239
770,66.79295705,56.94419065
771,66.79687072,56.94779087
772,66.80156619,56.95160777
773,66.80587204,56.95535575
774,66.81061109,56.95930655
775,66.81711831,56.96371777
776,66.8219645,56.96884534
777,66.82696142,56.97259101
778,66.8367061,56.97912225
779,66.84179171,56.98250677
780,66.84641233,56.98570066
781,66.85031113,56.98894303
782,66.85600783,56.99290868
783,66.86304104,56.99711773
784,66.86703058,57.00053853
785,66.87043927,57.00376309
786,66.87527573,57.01005852
787,66.87904789,57.01364818
788,66.88289235,57.01713758
789,66.88621183,57.02049572
790,66.88965692,57.02392114
791,66.89396175,57.02845274
792,66.89742888,57.03286264
793,66.90114056,57.03713831
794,66.90824554,57.04305116
795,66.91240682,57.04785354
796,66.9162482,57.05147223
797,66.92004651,57.05550252
798,66.92406834,57.05952918
799,66.92805224,57.06319404
800,66.93174546,57.06709603
801,66.93523413,57.07058114
802,66.939966,57.07570805
803,66.94381865,57.07927232
804,66.94707918,57.08283626
805,66.95137786,57.08628443
806,66.95501007,57.08942687
807,66.95999468,57.09313164
808,66.96386579,57.09685421
809,66.96725244,57.09985879
810,66.97284302,57.10406949
811,66.97624966,57.10747874
812,66.97957838,57.11091274
813,66.98402418,57.11401824
814,66.9886284,57.11798256
815,66.99262973,57.12093866
816,66.99632859,57.12412101
817,66.99988185,57.12726971
818,67.00351662,57.13149162
819,67.00675767,57.13501829
820,67.01019917,57.13813962
821,67.01367297,57.14125436
822,67.01741899,57.14496044
823,67.02189043,57.14913882
824,67.02502587,57.15329048
825,67.02826795,57.15681187
826,67.03451935,57.16171517
827,67.03773784,57.16513663
828,67.04109783,57.16861877
829,67.04463469,57.17175428
830,67.04844889,57.17498181
831,67.05178274,57.17785249
832,67.05524474,57.1809725
833,67.0584699,57.18502159
834,67.06349296,57.19333316
835,67.0673205,57.19636973
836,67.07099885,57.19924799
837,67.07437678,57.20219584
838,67.07786083,57.2050586
839,67.08249991,57.20880822
840,67.08771215,57.21295658
841,67.09124952,57.21607263
842,67.09634641,57.22022165
843,67.10062662,57.22504184
844,67.10407889,57.22948341
845,67.10771418,57.23309682
846,67.11324067,57.23734049
847,67.11658682,57.24095621
848,67.11978019,57.24747295
849,67.12277055,57.25145014
850,67.12728249,57.25574922
851,67.1303682,57.25936032
852,67.13332524,57.26335994
853,67.13642684,57.26699545
854,67.13951871,57.27112039
855,67.1717667,57.27738119
856,67.17496981,57.28111366
857,67.17826418,57.28448829
858,67.18512257,57.289135
859,67.18847128,57.29246939
860,67.19206504,57.29613919
861,67.19530814,57.29993664
862,67.1988655,57.30348936
863,67.22878139,57.30704835
864,67.23210088,57.31036196
865,67.23538294,57.31336687
866,67.23907206,57.31665409
867,67.24270376,57.31992516
868,67.24712649,57.32310421
869,67.25083253,57.32609064
870,67.25466468,57.32935215
871,67.25999687,57.333205
872,67.2646134,57.33627224
873,67.26829534,57.33979231
874,67.27508555,57.34441098
875,67.27937448,57.34857848
876,67.28326507,57.35416844
877,67.28661788,57.35862683
878,67.2922951,57.36321285
879,67.29570379,57.51830975
880,67.29916426,57.52145582
881,67.30290516,57.53316312
882,67.30641228,57.53649586
883,67.31401096,57.53992457
884,67.31711205,57.54302777
885,67.32045051,57.54599804
886,67.32432213,57.54961739
887,67.32905144,57.55331622
888,67.33207461,57.55668788
889,67.33536231,57.55985967
890,67.34132098,57.56458322
891,67.34464149,57.56753305
892,67.34754829,57.57072595
893,67.35028437,57.57367347
894,67.35339776,57.57702732
895,67.35620664,57.5801193
896,67.35920879,57.58370995
897,67.36225349,57.58659513
898,67.3656791,57.59013533
899,67.36881608,57.59323621
900,67.37527818,57.59662864
901,67.37842439,57.59988058
902,67.38573342,57.60343165
903,67.38957531,57.60774855
904,67.39270306,57.61177389
905,67.39520895,57.61583156
906,67.39957324,57.62090735
907,67.40292503,57.62477999
