IP Total Length (bytes),%count,%count
787,42.45060961,43.29957914
788,42.45611041,43.30511528
789,42.46262048,43.31180235
790,42.51800287,43.36316031
791,42.52230392,43.36758147
792,42.52702272,43.37217693
793,42.54111896,43.38811857
794,42.60161449,43.44321985
795,42.60723561,43.44837142
796,42.613612,43.45503636
797,42.61971102,43.46118117
798,42.62754449,43.46940375
799,42.63315558,43.47506715
800,42.63862631,43.48012742
801,42.66541518,43.50692552
802,42.672734,43.51419637
803,42.67847543,43.51999811
804,42.68307391,43.52479
805,42.68656288,43.52860249
806,42.6924547,43.5346062
807,42.69594367,43.53859576
808,42.70094653,43.54349832
809,42.70876329,43.55145254
810,42.71218877,43.55483343
811,42.71535357,43.55796808
812,42.71908984,43.56201574
813,42.72428653,43.56747717
814,42.73164211,43.57478399
815,42.73514111,43.57821744
816,42.73830257,43.5815015
817,42.74285427,43.58582306
818,42.74682114,43.58968535
819,42.75147644,43.59483415
820,42.75580757,43.59908654
821,42.75947032,43.60263896
822,42.76350403,43.60605858
823,42.76820611,43.61048251
824,42.77827199,43.61969557
825,42.7827368,43.6246258
826,42.78593837,43.62768576
827,42.7891132,43.63070421
828,42.7926523,43.634774
829,42.79851069,43.64129784
830,42.80406497,43.64614784
831,42.80759739,43.64969196
832,42.81155757,43.65365662
833,42.81570155,43.65740548
834,42.81933423,43.66096343
835,42.82264942,43.66429729
836,42.82776925,43.66881805
837,42.8313284,43.67224044
838,42.83507804,43.67557153
839,42.83837986,43.67925398
840,42.84267423,43.68358938
841,42.84735293,43.68829827
842,42.85174087,43.69192816
843,42.85558409,43.69545845
844,42.85987178,43.69909111
845,42.86474765,43.70343204
846,42.86958675,43.70703149
847,42.87369732,43.71065861
848,42.87773437,43.71493314
849,42.88103285,43.71827253
850,42.88467555,43.72197989
851,42.88838842,43.72570661
852,42.89439052,43.73167712
853,42.89783605,43.73528487
854,42.90161242,43.73914993
855,42.90504124,43.74256402
856,42.90962302,43.74837682
857,42.91426495,43.75357819
858,42.91860945,43.75814045
859,42.92264316,43.76290745
860,42.92865194,43.77027513
861,42.9350417,43.77940795
862,42.94576594,43.79221493
863,42.95228269,43.79985375
864,42.9607411,43.80828937
865,42.96969078,43.81605545
866,42.97931218,43.82291683
867,42.98583562,43.82866046
868,42.99151355,43.84106074
869,42.99740536,43.84667711
870,43.00449693,43.85214961
871,43.01420522,43.86021726
872,43.01994665,43.86462736
873,43.02417084,43.86915642
874,43.02786701,43.87273374
875,43.03230843,43.87769717
876,43.03659946,43.88215707
877,43.04089718,43.88677467
878,43.0455625,43.89127883
879,43.04945585,43.89558102
880,43.05441192,43.90086539
881,43.05887005,43.90548022
882,43.06560737,43.91199299
883,43.07101795,43.91724693
884,43.07645526,43.92250639
885,43.08201956,43.92802593
886,43.08714942,43.93302256
887,43.09074533,43.93651411
888,43.09555436,43.94080524
889,43.09968498,43.94497187
890,43.10370866,43.94879819
891,43.10711408,43.95241148
892,43.11142182,43.95691564
893,43.11643805,43.96314068
894,43.12070569,43.96826182
895,43.12419466,43.97236204
896,43.12811474,43.97637373
897,43.13178083,43.98000916
898,43.13552044,43.98358371
899,43.13902278,43.98714444
900,43.14668247,43.99517889
901,43.15033854,43.99886964
902,43.15466967,44.00358407
903,43.15839926,44.00720566
904,43.16339544,44.01156319
905,43.16929728,44.01764436
906,43.17336106,44.02153709
907,43.17678988,44.02521401
908,43.18082024,44.02917867
909,43.18489739,44.03320143
910,43.19011413,44.03770836
911,43.19357302,44.04157341
912,43.19753989,44.04541357
913,43.20138979,44.04922606
914,43.20551372,44.05334566
915,43.20921657,44.05672378
916,43.21359115,44.0607327
917,43.2172773,44.06442899
918,43.22111049,44.06803398
919,43.2244992,44.07132634
920,43.22868329,44.0758056
921,43.23392677,44.08125043
922,43.23801729,44.08509059
923,43.24150291,44.08891968
924,43.24545307,44.09323848
925,43.24978755,44.0970233
926,43.25481046,44.10202823
927,43.25876061,44.10634979
928,43.26290126,44.11071009
929,43.26751312,44.11499845
930,43.27131957,44.11850384
931,43.27493553,44.12167169
932,43.28082066,44.12657702
933,43.28472069,44.13037568
934,43.28833665,44.13414944
935,43.29181894,44.13768802
936,43.29679172,44.14291706
937,43.30116296,44.14724692
938,43.30470874,44.15073571
939,43.30836147,44.1544237
940,43.31321394,44.16046614
941,43.31762194,44.16457466
942,43.32187287,44.16866105
943,43.32615722,44.17268381
944,43.3307791,44.17751998
945,43.33492977,44.18209331
946,43.33927427,44.18600263
947,43.34327456,44.18980129
948,43.34830416,44.19511056
949,43.35232449,44.19905031
950,43.35610087,44.20279087
951,43.3609901,44.207497
952,43.36513075,44.21185176
953,43.37007011,44.21647766
954,43.37577478,44.22179799
955,43.3796982,44.22580415
956,43.38436687,44.23048538
957,43.38901214,44.23534091
958,43.39400164,44.24055888
959,43.40112997,44.24761669
